ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0001666,response to hypoxia,15/92,317/18986,0.047318612,9.765121383,10.98156653,3.23E-11,9.52E-08,6.08E-08,PTGS2/PGF/P4HB/NR4A2/KCNA5/CXCL12/CA9/PTPN1/PRKCE/CCNA2/PPARG/PDK1/SLC2A1/PLAU/HSP90B1,15
BP,GO:0036293,response to decreased oxygen levels,15/92,331/18986,0.045317221,9.3520951,10.69668138,5.94E-11,9.52E-08,6.08E-08,PTGS2/PGF/P4HB/NR4A2/KCNA5/CXCL12/CA9/PTPN1/PRKCE/CCNA2/PPARG/PDK1/SLC2A1/PLAU/HSP90B1,15
BP,GO:0042327,positive regulation of phosphorylation,17/92,479/18986,0.035490605,7.324180811,9.782306843,1.27E-10,1.35E-07,8.65E-08,PTGS2/PLK1/NOX4/MMP9/KIT/KDR/EEF1A2/CALM1/AR/MIF/PTPN1/PLA2G1B/PDE5A/IL6/FGF2/SNCA/PDGFRB,17
BP,GO:0070482,response to oxygen levels,15/92,358/18986,0.041899441,8.646769492,10.19233422,1.78E-10,1.43E-07,9.11E-08,PTGS2/PGF/P4HB/NR4A2/KCNA5/CXCL12/CA9/PTPN1/PRKCE/CCNA2/PPARG/PDK1/SLC2A1/PLAU/HSP90B1,15
BP,GO:0043434,response to peptide hormone,16/92,446/18986,0.035874439,7.403392474,9.549045102,4.04E-10,2.59E-07,1.66E-07,PTGS2/PIK3R1/PDK4/PARP1/NR4A2/CYP1B1/CXCL12/CA2/PTPN1/PLA2G1B/PRKCZ/PRKCB/CCNA2/STAT1/PPARG/SLC2A1,16
BP,GO:0043410,positive regulation of MAPK cascade,16/92,472/18986,0.033898305,6.995578482,9.204267264,9.20E-10,4.91E-07,3.14E-07,XDH/NOX4/KIT/KDR/AR/MIF/PTPN1/PLA2G1B/PRKCZ/PRKCE/PDE5A/IL6/FGF2/PDGFRB/IGFBP6/IGFBP3,16
BP,GO:0009410,response to xenobiotic stimulus,15/92,451/18986,0.033259424,6.863732768,8.794343085,4.22E-09,1.56E-06,9.99E-07,PTGS2/NQO1/MAOB/CYP1B1/CDK1/CA9/ALDH2/ABCB1/BCHE/SLC28A3/PRKCB/TYMS/STAT1/SNCA/IGFBP2,15
BP,GO:0001934,positive regulation of protein phosphorylation,15/92,455/18986,0.032967033,6.80339226,8.743301514,4.76E-09,1.56E-06,9.99E-07,PTGS2/PLK1/NOX4/MMP9/KIT/KDR/CALM1/MIF/PTPN1/PLA2G1B/PDE5A/IL6/FGF2/SNCA/PDGFRB,15
BP,GO:0062197,cellular response to chemical stress,13/92,321/18986,0.040498442,8.357645943,9.277151809,4.88E-09,1.56E-06,9.99E-07,PTGS2/PARP1/NR4A2/NQO1/DAPK1/CYP1B1/CDK1/ALOX5/AXL/IL6/SNCA/SLC2A1/MYLK,13
BP,GO:0071375,cellular response to peptide hormone stimulus,13/92,321/18986,0.040498442,8.357645943,9.277151809,4.88E-09,1.56E-06,9.99E-07,PIK3R1/PDK4/PARP1/NR4A2/CYP1B1/CA2/PTPN1/PLA2G1B/PRKCZ/PRKCB/CCNA2/STAT1/PPARG,13
BP,GO:0009636,response to toxic substance,12/92,270/18986,0.044444444,9.171980676,9.437130349,7.09E-09,2.07E-06,1.32E-06,PTGS2/NQO1/MAOB/CYP1B1/CDK1/AKR1B10/ABCG2/ABCB1/PTGES/PRKCE/TYMS/ALOX5AP,12
BP,GO:0007584,response to nutrient,10/92,168/18986,0.05952381,12.28390269,10.25095908,8.69E-09,2.32E-06,1.48E-06,PTGS2/NQO1/CYP1B1/BCHE/PRKCB/ALDH1A2/TYMS/STAT1/PPARG/IGFBP2,10
BP,GO:0048660,regulation of smooth muscle cell proliferation,10/92,174/18986,0.057471264,11.86031984,10.04238839,1.22E-08,3.00E-06,1.92E-06,PTGS2/PIK3R1/MMP9/IL6/FGF2/STAT1/PPARG/PDGFRB/DNMT1/IGFBP3,10
BP,GO:0048659,smooth muscle cell proliferation,10/92,178/18986,0.056179775,11.5937958,9.908948002,1.51E-08,3.46E-06,2.21E-06,PTGS2/PIK3R1/MMP9/IL6/FGF2/STAT1/PPARG/PDGFRB/DNMT1/IGFBP3,10
BP,GO:0000086,G2/M transition of mitotic cell cycle,9/92,141/18986,0.063829787,13.17252544,10.12347082,2.74E-08,5.55E-06,3.55E-06,PLK1/CDK1/CALM1/AURKB/ABCB1/CCNB1/CCNA2/CHEK1/AURKA,9
BP,GO:0071902,positive regulation of protein serine/threonine kinase activity,9/92,142/18986,0.063380282,13.07976118,10.08215179,2.91E-08,5.55E-06,3.55E-06,NOX4/CALM1/MIF/PTPN1/PLA2G1B/PDE5A/FGF2/SNCA/PDGFRB,9
BP,GO:0051223,regulation of protein transport,14/92,446/18986,0.031390135,6.477968415,8.169008486,3.02E-08,5.55E-06,3.55E-06,PTGS2/PIK3R1/KCNA5/CFTR/CDK5/CDK1/ALOX5/PTPN1/PLA2G1B/PRKCZ/PRKCE/PRKCB/IL6/PPARG,14
BP,GO:0048661,positive regulation of smooth muscle cell proliferation,8/92,101/18986,0.079207921,16.34610418,10.79040122,3.12E-08,5.55E-06,3.55E-06,PTGS2/PIK3R1/MMP9/IL6/FGF2/STAT1/PDGFRB/DNMT1,8
BP,GO:0031100,animal organ regeneration,7/92,67/18986,0.104477612,21.56099935,11.76440023,3.42E-08,5.76E-06,3.68E-06,CXCL12/CDK1/AXL/IL6/CCNA2/TYMS/AURKA,7
