"Regulation","Gene","Dataset"
"Down","GRK5","GSE19804"
"Down","SPOCK2","GSE19804"
"Down","AGER","GSE19804"
"Down","NCKAP5","GSE19804"
"Down","CA4","GSE19804"
"Down","RTKN2","GSE19804"
"Up","COL10A1","GSE19804"
"Down","KANK3","GSE19804"
"Down","SGCG","GSE19804"
"Up","GOLM1","GSE19804"
"Down","GPM6A","GSE19804"
"Down","FRMD3","GSE19804"
"Up","EFNA4","GSE19804"
"Down","DENND3","GSE19804"
"Down","CCM2L","GSE19804"
"Down","ACVRL1","GSE19804"
"Down","CCBE1","GSE19804"
"Down","IGSF10","GSE19804"
"Down","SH3GL3","GSE19804"
"Down","TNNC1","GSE19804"
"Down","SERTM1","GSE19804"
"Down","GPIHBP1","GSE19804"
"Down","SPTBN1","GSE19804"
"Down","CLEC3B","GSE19804"
"Down","ARHGEF26","GSE19804"
"Down","STX11","GSE19804"
"Up","SPP1","GSE19804"
"Down","ARRB1","GSE19804"
"Down","CLIC5","GSE19804"
"Down","FAM107A","GSE19804"
"Up","PYCR1","GSE19804"
"Down","CLEC14A","GSE19804"
"Down","MYZAP","GSE19804"
"Down","ROBO4","GSE19804"
"Down","VSIR","GSE19804"
"Down","PTPRB","GSE19804"
"Down","MYCT1","GSE19804"
"Down","KL","GSE19804"
"Down","CORO2B","GSE19804"
"Down","PECAM1","GSE19804"
"Up","OCIAD2","GSE19804"
"Down","SH2D3C","GSE19804"
"Up","CTHRC1","GSE19804"
"Down","ECSCR","GSE19804"
"Up","FUT2","GSE19804"
"Down","FGD5","GSE19804"
"Down","ADAMTS8","GSE19804"
"Up","SERINC2","GSE19804"
"Down","ASPA","GSE19804"
"Down","QKI","GSE19804"
"Down","HIGD1B","GSE19804"
"Down","CDH5","GSE19804"
"Down","MMRN2","GSE19804"
"Down","ADIRF","GSE19804"
"Down","MME","GSE19804"
"Down","EMCN","GSE19804"
"Down","EDNRB","GSE19804"
"Down","KCNT2","GSE19804"
"Down","ARHGEF10","GSE19804"
"Down","STXBP6","GSE19804"
"Down","ENTREP1","GSE19804"
"Down","CLDN5","GSE19804"
"Down","ANKRD29","GSE19804"
"Down","KCNK3","GSE19804"
"Down","SEMA6A","GSE19804"
"Down","ST6GALNAC5","GSE19804"
"Down","TCF21","GSE19804"
"Down","S1PR1","GSE19804"
"Up","SLC50A1","GSE19804"
"Down","STARD13","GSE19804"
"Down","CLEC1A","GSE19804"
"Down","SEMA5A","GSE19804"
