"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","tissue:ch1","group"
"GSM3325818","Invasive lung adenocarcinoma tissue of patient No.1","GSM3325818","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","Invasive lung adenocarcinoma tissue","Homo sapiens","tissue: tumor tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from invasive lung adenocarcinoma tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325818/suppl/GSM3325818_BH150154-1_L14-24B_C_Ai_C_HG-U133_Plus_2_.CEL.gz","54675","tumor tissue","Tumor"
"GSM3325819","paired normal lung tissue of of patient No.1","GSM3325819","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","normal lung tissue","Homo sapiens","tissue: normal tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from normal lung tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325819/suppl/GSM3325819_BH150154-1_L14-24F_Aipang_N_HG-U133_Plus_2_.CEL.gz","54675","normal tissue","Normal"
"GSM3325820","paired normal lung tissue of of patient No.2","GSM3325820","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","normal lung tissue","Homo sapiens","tissue: normal tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from normal lung tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325820/suppl/GSM3325820_BH150154-1_L14-415A_Aipang_N_HG-U133_Plus_2_.CEL.gz","54675","normal tissue","Normal"
"GSM3325821","Invasive lung adenocarcinoma tissue of patient No.2","GSM3325821","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","Invasive lung adenocarcinoma tissue","Homo sapiens","tissue: tumor tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from invasive lung adenocarcinoma tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325821/suppl/GSM3325821_BH150154-1_L14-415B_Ai_C_HG-U133_Plus_2_.CEL.gz","54675","tumor tissue","Tumor"
"GSM3325822","Invasive lung adenocarcinoma tissue of patient No.3","GSM3325822","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","Invasive lung adenocarcinoma tissue","Homo sapiens","tissue: tumor tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from invasive lung adenocarcinoma tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325822/suppl/GSM3325822_BH150154-1_L14-455B_Ai_C_HG-U133_Plus_2_.CEL.gz","54675","tumor tissue","Tumor"
"GSM3325823","paired normal lung tissue of of patient No.3","GSM3325823","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","normal lung tissue","Homo sapiens","tissue: normal tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from normal lung tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325823/suppl/GSM3325823_BH150154-1_L14-455D_Aipang_N_HG-U133_Plus_2_.CEL.gz","54675","normal tissue","Normal"
"GSM3325824","Invasive lung adenocarcinoma tissue of patient No.4","GSM3325824","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","lung adenocarcinoma tissue","Homo sapiens","tissue: tumor tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from invasive lung adenocarcinoma tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325824/suppl/GSM3325824_BH150154-1_L15-43A_C_Ai_C_HG-U133_Plus_2_.CEL.gz","54675","tumor tissue","Tumor"
"GSM3325825","paired normal lung tissue of of patient No.4","GSM3325825","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","normal lung tissue","Homo sapiens","tissue: normal tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from normal lung tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325825/suppl/GSM3325825_BH150154-1_L15-43G_Aipang_N_HG-U133_Plus_2_.CEL.gz","54675","normal tissue","Normal"
"GSM3325826","Invasive lung adenocarcinoma tissue of patient No.5","GSM3325826","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","Invasive lung adenocarcinoma tissue","Homo sapiens","tissue: tumor tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from invasive lung adenocarcinoma tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325826/suppl/GSM3325826_BH150154-1_L15-49A_B_Ai_C_HG-U133_Plus_2_.CEL.gz","54675","tumor tissue","Tumor"
"GSM3325827","paired normal lung tissue of of patient No.5","GSM3325827","Public on Jan 23 2019","Aug 09 2018","Jan 23 2019","RNA","1","normal lung tissue","Homo sapiens","tissue: normal tissue","To accurately acquire tumor cells and normal cells from lung tissues, samples were microdissected using a laser capture microdissection system (Applied Biosystems® ArcturusXT™, ABI)","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","Total RNA were amplified, labeled and purified by using Ovation FFPE WTA System (Cat#3403， NuGEN, San Carlos, CA, US) and FL-Ovation™ cDNA Biotin Module V2(Cat#4200， NuGEN, San Carlos, CA, US) followed the manufacturer’s instructions to obtain biotin labeled cRNA.","9606","Array hybridization and wash was performed using GeneChip® Hybridization, Wash and Stain Kit (Cat#900720, Affymetrix, Santa Clara, CA, US)in Hybridization Oven 645 (Cat#00-0331-220V, Affymetrix, Santa Clara, CA, US)and Fluidics Station 450 (Cat#00-0079, Affymetrix, Santa Clara, CA, US) followed the manufacturer’s instructions.","Slides were scanned by GeneChip® Scanner 3000 (Cat#00-00212, Affymetrix, Santa Clara, CA, US) and Command Console Software 4.0 (Affymetrix, Santa Clara, CA, US) with default settings.","Gene expression data from normal lung tissue","Raw data were normalized by MAS 5.0 algorithm, Gene Spring Software 11.0 (Agilent technologies, Santa Clara, CA, US).","GPL570","yun,li,Xu","493630299@qq.com","Zhoushan hospital","No. 739, Dingshen Road, Lincheng Street, Dinghai District  Zhoushan City, Zhejiang Province, China","Zhoushan","316000","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3325nnn/GSM3325827/suppl/GSM3325827_BH150154-1_L15-49B_Aipang_N_HG-U133_Plus_2_.CEL.gz","54675","normal tissue","Normal"
