"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","tissue:ch1","group"
"GSM3753429","A1","GSM3753429","Public on May 07 2019","May 06 2019","Feb 17 2020","RNA","1","lung adenocarcinoma tissues","Homo sapiens","tissue: lung adenocarcinoma","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753429/suppl/GSM3753429_US10313827_256740610661_S01_GE1_1105_Oct12_1_1.txt.gz","72773","lung adenocarcinoma","Tumor"
"GSM3753430","A2","GSM3753430","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adenocarcinoma tissues","Homo sapiens","tissue: lung adenocarcinoma","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753430/suppl/GSM3753430_US10313827_256740610661_S01_GE1_1105_Oct12_1_2.txt.gz","72773","lung adenocarcinoma","Tumor"
"GSM3753431","A3","GSM3753431","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adenocarcinoma tissues","Homo sapiens","tissue: lung adenocarcinoma","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753431/suppl/GSM3753431_US10313827_256740610661_S01_GE1_1105_Oct12_1_3.txt.gz","72773","lung adenocarcinoma","Tumor"
"GSM3753432","A4","GSM3753432","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adenocarcinoma tissues","Homo sapiens","tissue: lung adenocarcinoma","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753432/suppl/GSM3753432_US10313827_256740610661_S01_GE1_1105_Oct12_1_4.txt.gz","72773","lung adenocarcinoma","Tumor"
"GSM3753433","B1","GSM3753433","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adjacent non-tumor tissues","Homo sapiens","tissue: lung adjacent non-tumor","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753433/suppl/GSM3753433_US10313827_256740610662_S01_GE1_1105_Oct12_1_3.txt.gz","72773","lung adjacent non-tumor","Normal"
"GSM3753434","B2","GSM3753434","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adjacent non-tumor tissues","Homo sapiens","tissue: lung adjacent non-tumor","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753434/suppl/GSM3753434_US10313827_256740610662_S01_GE1_1105_Oct12_1_4.txt.gz","72773","lung adjacent non-tumor","Normal"
"GSM3753435","B3","GSM3753435","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adjacent non-tumor tissues","Homo sapiens","tissue: lung adjacent non-tumor","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753435/suppl/GSM3753435_US10313827_256740610663_S01_GE1_1105_Oct12_1_1.txt.gz","72773","lung adjacent non-tumor","Normal"
"GSM3753436","B4","GSM3753436","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adjacent non-tumor tissues","Homo sapiens","tissue: lung adjacent non-tumor","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753436/suppl/GSM3753436_US10313827_256740610663_S01_GE1_1105_Oct12_1_2.txt.gz","72773","lung adjacent non-tumor","Normal"
"GSM3753437","C1","GSM3753437","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adenocarcinoma tissues","Homo sapiens","tissue: lung adenocarcinoma","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753437/suppl/GSM3753437_US10313827_256740610664_S01_GE1_1105_Oct12_1_1.txt.gz","72773","lung adenocarcinoma","Tumor"
"GSM3753438","C2","GSM3753438","Public on May 07 2019","May 06 2019","May 07 2019","RNA","1","lung adenocarcinoma tissues","Homo sapiens","tissue: lung adenocarcinoma","Samples were fresh frozen and were shipped on ice for subsequent RNA extraction","total RNA","Tumor samples were microdissected to ensure the purity of the tumor. From the same patient, adjacent normal tissue samples were collected from resected, located approximately 3.5-5 cm away from the tumor site.","Cy3","The purity and concentration of RNA was determined by Nano Drop ND-1000 spectrophotometer according to OD260/280 reading.","9606","Total RNAs were hybridized using mRNA + lncRNA Human Gene Expression Microarray V4.0 (4×180K format, CapitalBio Corp, Beijing, China)","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505B) using one color scan setting for 1x44k array slides (Scan Area 61x21.6 mm, Scan resolution 10um, Dye channel is set to Green and Green PMT is set to 100%).","The scanned images were analyzed with Feature Extraction Software 12.0 (Agilent) using default parameters (protocol GE1-v1_91 and Grid: 012391_D_20060331) to obtain background subtracted and spatially detrended Processed Signal intensities. Features flagged in Feature Extraction as Feature Non-uniform outliers were excluded.","GPL20115","Fei,,He","ifeihe@163.com","Fujian Medical University","No.1 Xuefubei Road","Fuzhou","350222","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3753nnn/GSM3753438/suppl/GSM3753438_US10313827_256740610664_S01_GE1_1105_Oct12_1_2.txt.gz","72773","lung adenocarcinoma","Tumor"
