"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","sample type:ch1","tissue:ch1","group"
"GSM466947","Tumor 2","GSM466947","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE486","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466947/suppl/GSM466947.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466948","Control 2","GSM466948","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE487","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466948/suppl/GSM466948.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466949","Tumor 3","GSM466949","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE488","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466949/suppl/GSM466949.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466950","Control 3","GSM466950","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE489","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466950/suppl/GSM466950.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466951","Tumor 6","GSM466951","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE490","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466951/suppl/GSM466951.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466952","Tumor 9","GSM466952","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE492","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466952/suppl/GSM466952.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466953","Control 9","GSM466953","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE493","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466953/suppl/GSM466953.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466954","Tumor 10","GSM466954","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE494","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466954/suppl/GSM466954.CEL.gz","54675","Reanalyzed by: GSE60486","tumor","lung","Tumor"
"GSM466955","Control 10","GSM466955","Public on Oct 01 2010","Nov 02 2009","Aug 18 2014","RNA","1","Human Lung Control","Homo sapiens","tissue: lung","sample type: control","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE495","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466955/suppl/GSM466955.CEL.gz","54675","Reanalyzed by: GSE60486","control","lung","Normal"
"GSM466956","Tumor 11","GSM466956","Public on Oct 01 2010","Nov 02 2009","Oct 01 2010","RNA","1","Human Lung Tumor","Homo sapiens","tissue: lung","sample type: tumor","total RNA","RNAeasy Mini Kit (Qiagen).","biotin","Expression Analysis Technical Manual of Affymetrix.","9606","Expression Analysis Technical Manual of Affymetrix.","Expression Analysis Technical Manual of Affymetrix.","07SE496","RMA.","GPL570","Mª Esther,,Farez-Vidal","efarez@ugr.es","Hospital Universitario San Cecilio","Avda Dr. Oloriz s/n","Granada","18012","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466956/suppl/GSM466956.CEL.gz","54675","","tumor","lung","Tumor"
