"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"TCF21",-3.5135720804865,6.70146029959465,-30.8598322109875,2.29706129343206e-50,3.26090821215615e-46,104.235161844752,"Down"
"AGER",-4.59962740130054,7.48640653151434,-30.1585428783268,1.58124482973572e-49,1.12236758014641e-45,102.343751007173,"Down"
"TNNC1",-4.24449619772198,6.81870467337229,-28.3672828540532,2.59019239424914e-47,1.21866383207042e-43,97.3346798845679,"Down"
"GPM6A",-4.22035602357039,6.11435216695243,-28.2707861337018,3.4338231391108e-47,1.21866383207042e-43,97.0572862927199,"Down"
"TOP2A",4.4125495770415,6.80547716133558,27.6940352421068,1.88200433308062e-46,5.3433867024825e-43,95.3826269867533,"Up"
"CLIC5",-2.56249151876238,5.98879894928438,-27.3035692373303,6.04984400735578e-46,1.43139309214038e-42,94.2323515780865,"Down"
"CDC20",4.25752615222166,6.75692484743901,26.9980101196229,1.52254181438946e-45,3.08771479958182e-42,93.3227221146697,"Up"
"RGCC",-2.9273760144221,11.2271225717523,-26.1196432950868,2.26316817091172e-44,4.01599191928284e-41,90.6603960154619,"Down"
"TPX2",3.88305144979519,6.71937540304777,25.6126368430369,1.10947883487938e-43,1.68110189582864e-40,89.090756505916,"Up"
"NOSTRIN",-3.51784532807684,6.28958151597478,-25.5920084747215,1.18420815428898e-43,1.68110189582864e-40,89.0263724286401,"Down"
"PHACTR1",-2.33544112721044,6.18365404286212,-25.3190084368474,2.81648769690184e-43,3.63480539501987e-40,88.1704186137773,"Down"
"CLDN18",-5.41702856999579,7.58095656459092,-24.2144658255208,1.00873750307292e-41,1.19333646613527e-38,84.6320401285337,"Down"
"CLEC3B",-4.3633229911541,9.09181328697786,-24.0051432396632,2.01444328370544e-41,2.19977206580634e-38,83.9475578925269,"Down"
"FAM107A",-4.07954744711954,7.64021953898029,-23.7214093924216,5.18045015014209e-41,5.25297645224408e-38,83.0125032918862,"Down"
"ANLN",3.56000435503018,5.81578570460107,23.4253715317429,1.40011036741207e-40,1.32506445171878e-37,82.0279057115961,"Up"
"TK1",2.75974927188644,7.4100920601363,23.2972958104327,2.15865972894048e-40,1.91527084450244e-37,81.5990608065901,"Up"
"ALKAL2",-3.61189885882104,6.36543123419218,-23.2301386701496,2.71062479459006e-40,2.26353115200003e-37,81.3734948928542,"Down"
"MELK",3.30587333179434,7.0172526051346,23.1306870027936,3.80085203985105e-40,2.99760530876253e-37,81.0385718365883,"Up"
"INMT",-4.16441302597656,7.67795953408923,-22.8814759520599,8.90726228458052e-40,6.65513133641605e-37,80.1946258954402,"Down"
"CEP55",3.33438423040499,5.704130283892,22.8531627843842,9.81622427913227e-40,6.96755599332808e-37,80.0983188473506,"Up"
"FXYD1",-3.55516039971757,7.60551465928263,-22.82421901551,1.08423308308062e-39,7.32941564162502e-37,79.9997767242447,"Down"
"ACADL",-2.92631035915701,5.79795534432558,-22.7732250543709,1.29207866641856e-39,8.3374312493081e-37,79.8259404609405,"Down"
"UBE2C",3.93499518790925,7.969838032311,22.6955021499772,1.6889200721046e-39,1.0082041872479e-36,79.5604405082437,"Up"
"ENTREP1",-3.15472395934522,6.84285452914688,-22.6928429803783,1.70448721428216e-39,1.0082041872479e-36,79.5513451521357,"Down"
"DPEP2",-2.66661489756709,6.43605455166212,-22.6777299383893,1.79575133938166e-39,1.01969944055448e-36,79.499638186706,"Down"
"GKN2",-4.90958108145663,7.26303330348982,-22.6035713355986,2.32034961739054e-39,1.26691089109524e-36,79.2455530493007,"Down"
"EDNRB",-3.3141390114157,7.26339756445196,-22.2806591832889,7.13197608725565e-39,3.6291217439305e-36,78.1321123163291,"Down"
"CPB2",-4.55050337312697,6.74868025796818,-22.2796157453828,7.15803105311736e-39,3.6291217439305e-36,78.1284956841421,"Down"
